Name,Region,state,summit_elev,vertical_drop,base_elev,trams,fastSixes,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekend,projectedDaysOpen,NightSkiing_ac,resorts_per_state,state_total_skiable_area_ac,state_total_days_open,state_total_terrainParks,state_total_nightsking,resorts_per_100kcapita,resorts_per_100ksq_mile,total_chairs_runs_ratio,total_chairs_skiable_ratio,fastQuads_runs_ratio,fastQuads_skiable_ratio
Windham Mountain,New York,New York,3100,1600,1500,0,1,2,0,3,1,5,12,54.0,6.0,2.0,285.0,280.0,123.0,59.0,105.0,95.0,130.0,56.0,33,5514.0,2384.0,72.0,2836.0,0.16963475221837276,60.48941435248832,0.2222222222222222,0.042105263157894736,0.037037037037037035,0.007017543859649123
Woods Valley Ski Area,New York,New York,1400,500,900,0,0,0,0,0,2,4,6,21.0,,0.3,25.0,16.0,,55.0,180.0,39.0,,15.0,33,5514.0,2384.0,72.0,2836.0,0.16963475221837276,60.48941435248832,0.2857142857142857,0.24,0.0,0.0
Appalachian Ski Mountain,North Carolina,North Carolina,4000,365,3635,0,0,0,2,0,1,2,5,12.0,3.0,0.5,27.0,27.0,100.0,57.0,50.0,64.0,100.0,27.0,6,370.0,506.0,9.0,335.0,0.057207779800390615,11.148479161634366,0.4166666666666667,0.18518518518518517,0.0,0.0
Cataloochee Ski Area,North Carolina,North Carolina,5400,740,4660,0,0,0,1,1,1,2,5,18.0,2.0,1.0,50.0,50.0,141.0,58.0,50.0,70.0,108.0,50.0,6,370.0,506.0,9.0,335.0,0.057207779800390615,11.148479161634366,0.2777777777777778,0.1,0.0,0.0
Sapphire Valley,North Carolina,North Carolina,3450,200,3200,0,0,0,1,0,0,2,3,,1.0,1.0,8.0,8.0,53.0,55.0,24.0,43.0,60.0,8.0,6,370.0,506.0,9.0,335.0,0.057207779800390615,11.148479161634366,,0.375,,0.0
Beech Mountain Resort,North Carolina,North Carolina,5506,830,4675,0,0,0,3,0,3,2,8,17.0,1.0,1.0,95.0,95.0,98.0,52.0,31.0,68.0,,95.0,6,370.0,506.0,9.0,335.0,0.057207779800390615,11.148479161634366,0.47058823529411764,0.08421052631578947,0.0,0.0
Sugar Mountain Resort,North Carolina,North Carolina,5300,1200,4100,0,1,0,0,1,4,2,8,21.0,1.0,1.5,125.0,125.0,114.0,50.0,77.0,75.0,120.0,95.0,6,370.0,506.0,9.0,335.0,0.057207779800390615,11.148479161634366,0.38095238095238093,0.064,0.0,0.0
Wolf Ridge Ski Resort,North Carolina,North Carolina,4700,720,4000,0,0,0,1,0,1,2,4,15.0,1.0,0.6,65.0,65.0,,49.0,65.0,65.0,100.0,60.0,6,370.0,506.0,9.0,335.0,0.057207779800390615,11.148479161634366,0.26666666666666666,0.06153846153846154,0.0,0.0
Alpine Valley,Ohio,Ohio,1500,230,1260,0,0,0,1,2,1,1,5,11.0,1.0,0.2,72.0,72.0,105.0,53.0,120.0,43.0,,72.0,5,421.0,489.0,12.0,421.0,0.042774892848893416,11.154240842368269,0.45454545454545453,0.06944444444444445,0.0,0.0
Boston Mills,Ohio,Ohio,871,264,631,0,0,0,0,4,2,2,8,7.0,2.0,0.3,40.0,40.0,92.0,56.0,51.0,44.0,110.0,40.0,5,421.0,489.0,12.0,421.0,0.042774892848893416,11.154240842368269,1.1428571428571428,0.2,0.0,0.0
Brandywine,Ohio,Ohio,871,240,631,0,0,0,2,7,2,5,16,11.0,2.0,0.3,85.0,85.0,92.0,56.0,51.0,44.0,110.0,85.0,5,421.0,489.0,12.0,421.0,0.042774892848893416,11.154240842368269,1.4545454545454546,0.18823529411764706,0.0,0.0
Mad River Mountain,Ohio,Ohio,1460,300,1160,0,0,0,1,2,3,6,12,20.0,4.0,0.5,144.0,144.0,99.0,57.0,36.0,44.0,90.0,144.0,5,421.0,489.0,12.0,421.0,0.042774892848893416,11.154240842368269,0.6,0.08333333333333333,0.0,0.0
Snow Trails,Ohio,Ohio,1475,301,1174,0,0,0,0,4,2,3,9,17.0,3.0,0.2,80.0,80.0,101.0,58.0,50.0,52.0,70.0,80.0,5,421.0,489.0,12.0,421.0,0.042774892848893416,11.154240842368269,0.5294117647058824,0.1125,0.0,0.0
Anthony Lakes Mountain Resort,Oregon,Oregon,8000,900,7100,0,0,0,0,1,0,2,3,21.0,2.0,1.5,1100.0,,75.0,56.0,300.0,40.0,80.0,,10,11774.0,1180.0,22.0,1127.0,0.23709396768930827,10.164770936886937,0.14285714285714285,0.0027272727272727275,0.0,0.0
Cooper Spur,Mt. Hood,Oregon,4000,350,3500,0,0,0,0,0,1,1,2,10.0,,0.1,50.0,,78.0,66.0,100.0,39.0,90.0,,10,11774.0,1180.0,22.0,1127.0,0.23709396768930827,10.164770936886937,0.2,0.04,0.0,0.0
Hoodoo Ski Area,Oregon,Oregon,5703,1035,4668,0,0,0,3,1,1,0,5,34.0,,0.4,806.0,,80.0,81.0,350.0,59.0,108.0,200.0,10,11774.0,1180.0,22.0,1127.0,0.23709396768930827,10.164770936886937,0.14705882352941177,0.00620347394540943,0.0,0.0
Mt. Ashland,Oregon,Oregon,7533,1150,6383,0,0,0,0,2,2,1,5,23.0,2.0,1.0,220.0,,94.0,55.0,300.0,52.0,92.0,40.0,10,11774.0,1180.0,22.0,1127.0,0.23709396768930827,10.164770936886937,0.21739130434782608,0.022727272727272728,0.0,0.0
Mt. Bachelor,Oregon,Oregon,9065,3365,5700,0,0,8,0,3,0,0,11,101.0,5.0,4.0,4318.0,20.0,185.0,61.0,462.0,99.0,185.0,,10,11774.0,1180.0,22.0,1127.0,0.23709396768930827,10.164770936886937,0.10891089108910891,0.0025474756831866605,0.07920792079207921,0.0018527095877721167
Mt. Hood Skibowl,Mt. Hood,Oregon,5100,1500,3600,0,0,0,0,0,4,5,9,65.0,2.0,3.0,960.0,29.0,125.0,82.0,300.0,70.0,144.0,317.0,10,11774.0,1180.0,22.0,1127.0,0.23709396768930827,10.164770936886937,0.13846153846153847,0.009375,0.0,0.0
Willamette Pass,Oregon,Oregon,6683,1563,5120,0,1,0,0,3,0,1,5,29.0,,2.1,555.0,60.0,3.0,78.0,430.0,60.0,100.0,,10,11774.0,1180.0,22.0,1127.0,0.23709396768930827,10.164770936886937,0.1724137931034483,0.009009009009009009,0.0,0.0
Bear Creek Mountain Resort,Pennsylvania,Pennsylvania,1100,510,600,0,0,0,3,1,0,2,6,23.0,3.0,1.0,86.0,86.0,91.0,52.0,30.0,60.0,90.0,86.0,19,1888.0,1404.0,47.0,1528.0,0.14841443778775315,41.255916967038694,0.2608695652173913,0.06976744186046512,0.0,0.0
Ski Big Bear,Pennsylvania,Pennsylvania,1250,650,600,0,0,0,0,0,4,2,6,18.0,1.0,1.5,26.0,26.0,75.0,43.0,69.0,62.0,75.0,26.0,19,1888.0,1404.0,47.0,1528.0,0.14841443778775315,41.255916967038694,0.3333333333333333,0.23076923076923078,0.0,0.0
Big Boulder,Pennsylvania,Pennsylvania,2175,600,1700,0,0,0,0,2,5,1,8,16.0,8.0,,55.0,55.0,76.0,72.0,50.0,65.0,95.0,55.0,19,1888.0,1404.0,47.0,1528.0,0.14841443778775315,41.255916967038694,0.5,0.14545454545454545,0.0,0.0
Blue Knob,Pennsylvania,Pennsylvania,3146,1072,2074,0,0,0,0,2,2,2,6,34.0,1.0,2.0,100.0,84.0,87.0,56.0,120.0,68.0,105.0,42.0,19,1888.0,1404.0,47.0,1528.0,0.14841443778775315,41.255916967038694,0.17647058823529413,0.06,0.0,0.0
Blue Mountain Resort,Pennsylvania,Pennsylvania,1600,1082,460,0,1,1,1,1,3,9,16,39.0,5.0,1.2,164.0,164.0,122.0,42.0,33.0,65.0,112.0,164.0,19,1888.0,1404.0,47.0,1528.0,0.14841443778775315,41.255916967038694,0.41025641025641024,0.0975609756097561,0.02564102564102564,0.006097560975609756
Camelback Mountain Resort,Pennsylvania,Pennsylvania,2100,800,1250,0,0,2,0,3,5,6,16,37.0,5.0,1.0,166.0,166.0,100.0,56.0,50.0,70.0,100.0,160.0,19,1888.0,1404.0,47.0,1528.0,0.14841443778775315,41.255916967038694,0.43243243243243246,0.0963855421686747,0.05405405405405406,0.012048192771084338
Elk Mountain Ski Resort,Pennsylvania,Pennsylvania,2693,1000,1693,0,0,0,1,0,5,1,7,27.0,2.0,0.7,180.0,146.0,,60.0,60.0,69.0,100.0,90.0,19,1888.0,1404.0,47.0,1528.0,0.14841443778775315,41.255916967038694,0.25925925925925924,0.03888888888888889,0.0,0.0
Jack Frost,Pennsylvania,Pennsylvania,2000,600,1400,0,0,0,1,2,5,1,9,20.0,1.0,1.0,100.0,100.0,96.0,47.0,50.0,65.0,105.0,,19,1888.0,1404.0,47.0,1528.0,0.14841443778775315,41.255916967038694,0.45,0.09,0.0,0.0
Liberty,Pennsylvania,Pennsylvania,1190,620,570,0,0,0,5,0,0,3,8,16.0,3.0,1.0,100.0,100.0,107.0,54.0,31.0,77.0,97.0,100.0,19,1888.0,1404.0,47.0,1528.0,0.14841443778775315,41.255916967038694,0.5,0.08,0.0,0.0
Mount Pleasant of Edinboro,Pennsylvania,Pennsylvania,1540,340,1200,0,0,0,0,1,0,1,2,10.0,,0.5,40.0,35.0,75.0,48.0,100.0,33.0,90.0,35.0,19,1888.0,1404.0,47.0,1528.0,0.14841443778775315,41.255916967038694,0.2,0.05,0.0,0.0
Roundtop Mountain Resort,Pennsylvania,Pennsylvania,1400,600,800,0,0,0,3,2,0,3,8,20.0,2.0,0.4,103.0,103.0,,55.0,30.0,73.0,,100.0,19,1888.0,1404.0,47.0,1528.0,0.14841443778775315,41.255916967038694,0.4,0.07766990291262135,0.0,0.0
Seven Springs,Pennsylvania,Pennsylvania,2994,750,2240,0,2,0,3,5,0,4,14,33.0,7.0,1.2,285.0,285.0,99.0,87.0,135.0,87.0,115.0,200.0,19,1888.0,1404.0,47.0,1528.0,0.14841443778775315,41.255916967038694,0.42424242424242425,0.04912280701754386,0.0,0.0
Shawnee Mountain Ski Area,Pennsylvania,Pennsylvania,1350,700,650,0,0,1,1,0,4,4,10,23.0,2.0,1.6,125.0,125.0,100.0,44.0,50.0,65.0,122.0,120.0,19,1888.0,1404.0,47.0,1528.0,0.14841443778775315,41.255916967038694,0.43478260869565216,0.08,0.043478260869565216,0.008
Ski Sawmill,Pennsylvania,Pennsylvania,2215,515,1700,0,0,0,0,1,1,3,5,14.0,1.0,0.1,15.0,13.0,,50.0,24.0,44.0,90.0,15.0,19,1888.0,1404.0,47.0,1528.0,0.14841443778775315,41.255916967038694,0.35714285714285715,0.3333333333333333,0.0,0.0
Tussey Mountain,Pennsylvania,Pennsylvania,1750,520,1230,0,0,0,1,0,1,3,5,8.0,1.0,0.3,38.0,30.0,100.0,39.0,41.0,45.0,100.0,30.0,19,1888.0,1404.0,47.0,1528.0,0.14841443778775315,41.255916967038694,0.625,0.13157894736842105,0.0,0.0
Whitetail Resort,Pennsylvania,Pennsylvania,1800,935,865,0,0,1,3,0,2,2,8,23.0,2.0,1.0,120.0,120.0,116.0,28.0,40.0,71.0,100.0,120.0,19,1888.0,1404.0,47.0,1528.0,0.14841443778775315,41.255916967038694,0.34782608695652173,0.06666666666666667,0.043478260869565216,0.008333333333333333
Deer Mountain Ski Resort,South Dakota,South Dakota,6850,940,6040,0,0,0,0,1,1,2,4,63.0,2.0,1.6,500.0,50.0,69.0,51.0,200.0,45.0,81.0,,2,950.0,183.0,3.0,0.0,0.22607581000136776,2.593495513252762,0.06349206349206349,0.008,0.0,0.0
Terry Peak Ski Area,South Dakota,South Dakota,7100,1100,5900,0,0,3,0,1,0,1,5,30.0,1.0,1.2,450.0,225.0,114.0,65.0,150.0,58.0,120.0,,2,950.0,183.0,3.0,0.0,0.22607581000136776,2.593495513252762,0.16666666666666666,0.011111111111111112,0.1,0.006666666666666667
Ober Gatlinburg Ski Resort,Tennessee,Tennessee,3300,600,2700,0,0,0,2,0,1,1,4,10.0,1.0,1.0,,,83.0,44.0,35.0,65.0,94.0,,1,0.0,83.0,1.0,0.0,0.014643059321669063,2.3728170083523157,0.4,,0.0,
Alta Ski Area,Salt Lake City,Utah,11068,2538,8530,0,0,3,0,1,2,0,6,116.0,,1.3,2614.0,140.0,150.0,81.0,545.0,116.0,140.0,,13,30508.0,1544.0,26.0,642.0,0.4054950189615709,15.312673003757494,0.05172413793103448,0.0022953328232593728,0.02586206896551724,0.0011476664116296864
Beaver Mountain,Utah,Utah,8600,1600,7232,0,0,0,0,1,3,1,5,48.0,2.0,0.8,464.0,,120.0,81.0,400.0,50.0,120.0,,13,30508.0,1544.0,26.0,642.0,0.4054950189615709,15.312673003757494,0.10416666666666667,0.010775862068965518,0.0,0.0
Brian Head Resort,Utah,Utah,10970,1548,9600,0,0,1,0,6,1,0,8,71.0,2.0,0.6,650.0,216.0,149.0,54.0,360.0,59.0,148.0,,13,30508.0,1544.0,26.0,642.0,0.4054950189615709,15.312673003757494,0.11267605633802817,0.012307692307692308,0.014084507042253521,0.0015384615384615385
Brighton Resort,Salt Lake City,Utah,10500,1745,8755,0,0,3,1,1,0,2,7,66.0,4.0,1.2,1050.0,200.0,138.0,83.0,500.0,85.0,138.0,200.0,13,30508.0,1544.0,26.0,642.0,0.4054950189615709,15.312673003757494,0.10606060606060606,0.006666666666666667,0.045454545454545456,0.002857142857142857
Deer Valley Resort,Salt Lake City,Utah,9570,3000,6570,1,0,13,0,5,2,0,21,103.0,,2.8,2026.0,660.0,,39.0,300.0,169.0,,,13,30508.0,1544.0,26.0,642.0,0.4054950189615709,15.312673003757494,0.20388349514563106,0.010365251727541954,0.1262135922330097,0.006416584402764067
Eagle Point,Utah,Utah,10600,1500,9100,0,0,0,1,1,2,1,5,40.0,1.0,0.9,650.0,,,9.0,400.0,60.0,109.0,,13,30508.0,1544.0,26.0,642.0,0.4054950189615709,15.312673003757494,0.125,0.007692307692307693,0.0,0.0
Powder Mountain,Utah,Utah,9422,2522,6900,0,0,1,4,1,0,3,9,167.0,2.0,3.5,8464.0,,120.0,47.0,500.0,88.0,146.0,300.0,13,30508.0,1544.0,26.0,642.0,0.4054950189615709,15.312673003757494,0.05389221556886228,0.0010633270321361058,0.005988023952095809,0.00011814744801512288
Snowbasin,Utah,Utah,9350,2900,6450,3,1,2,0,3,0,2,11,107.0,4.0,3.5,3000.0,625.0,143.0,79.0,300.0,115.0,138.0,,13,30508.0,1544.0,26.0,642.0,0.4054950189615709,15.312673003757494,0.102803738317757,0.0036666666666666666,0.018691588785046728,0.0006666666666666666
Snowbird,Salt Lake City,Utah,11000,3240,7760,1,0,6,0,0,4,3,14,170.0,1.0,2.5,2500.0,,188.0,48.0,500.0,125.0,180.0,2.0,13,30508.0,1544.0,26.0,642.0,0.4054950189615709,15.312673003757494,0.08235294117647059,0.0056,0.03529411764705882,0.0024
Solitude Mountain Resort,Salt Lake City,Utah,10488,2494,7994,0,0,4,2,1,1,1,9,80.0,,3.0,1200.0,150.0,161.0,62.0,500.0,119.0,148.0,,13,30508.0,1544.0,26.0,642.0,0.4054950189615709,15.312673003757494,0.1125,0.0075,0.05,0.0033333333333333335
Sundance,Utah,Utah,8250,2150,6100,0,0,0,2,2,0,1,5,45.0,1.0,0.6,450.0,112.0,128.0,50.0,320.0,80.0,129.0,,13,30508.0,1544.0,26.0,642.0,0.4054950189615709,15.312673003757494,0.1111111111111111,0.011111111111111112,0.0,0.0
Nordic Valley Resort,Utah,Utah,6400,960,5440,0,0,0,0,0,2,2,4,23.0,1.0,0.4,140.0,84.0,105.0,51.0,300.0,50.0,105.0,140.0,13,30508.0,1544.0,26.0,642.0,0.4054950189615709,15.312673003757494,0.17391304347826086,0.02857142857142857,0.0,0.0
Bolton Valley,Vermont,Vermont,3150,1704,1446,0,0,0,2,0,3,1,6,71.0,3.0,0.6,300.0,90.0,133.0,53.0,300.0,79.0,132.0,50.0,15,7239.0,1777.0,50.0,50.0,2.4038885300862676,155.99001663893512,0.08450704225352113,0.02,0.0,0.0
Bromley Mountain,Vermont,Vermont,3284,1334,1950,0,0,1,1,0,4,3,9,47.0,1.0,2.5,178.0,153.0,,83.0,168.0,91.0,152.0,,15,7239.0,1777.0,50.0,50.0,2.4038885300862676,155.99001663893512,0.19148936170212766,0.05056179775280899,0.02127659574468085,0.0056179775280898875
Burke Mountain,Vermont,Vermont,3267,2011,1210,0,0,2,1,0,0,3,6,50.0,3.0,2.2,178.0,125.0,110.0,62.0,217.0,73.0,125.0,,15,7239.0,1777.0,50.0,50.0,2.4038885300862676,155.99001663893512,0.12,0.033707865168539325,0.04,0.011235955056179775
Jay Peak,Vermont,Vermont,3968,2153,1815,1,0,1,3,1,1,2,9,79.0,2.0,3.0,385.0,300.0,155.0,64.0,349.0,89.0,160.0,,15,7239.0,1777.0,50.0,50.0,2.4038885300862676,155.99001663893512,0.11392405063291139,0.023376623376623377,0.012658227848101266,0.0025974025974025974
Killington Resort,Vermont,Vermont,4241,3050,1165,3,1,5,4,3,1,5,22,155.0,6.0,6.0,1515.0,600.0,192.0,61.0,250.0,119.0,,,15,7239.0,1777.0,50.0,50.0,2.4038885300862676,155.99001663893512,0.14193548387096774,0.014521452145214522,0.03225806451612903,0.0033003300330033004
Magic Mountain,Vermont,Vermont,2850,1500,1350,0,0,0,0,0,3,3,6,50.0,1.0,1.6,205.0,95.0,76.0,59.0,150.0,74.0,80.0,,15,7239.0,1777.0,50.0,50.0,2.4038885300862676,155.99001663893512,0.12,0.02926829268292683,0.0,0.0
Pico Mountain,Vermont,Vermont,3967,1967,2000,0,0,2,0,2,2,1,7,59.0,1.0,4.0,260.0,156.0,,82.0,250.0,81.0,,,15,7239.0,1777.0,50.0,50.0,2.4038885300862676,155.99001663893512,0.11864406779661017,0.026923076923076925,0.03389830508474576,0.007692307692307693
Smugglers' Notch Resort,Vermont,Vermont,3640,2610,1030,0,0,0,0,0,6,2,8,78.0,6.0,3.0,1000.0,192.0,136.0,63.0,280.0,79.0,135.0,,15,7239.0,1777.0,50.0,50.0,2.4038885300862676,155.99001663893512,0.10256410256410256,0.008,0.0,0.0
Sugarbush,Vermont,Vermont,4083,2600,1483,0,0,5,5,2,1,3,16,111.0,4.0,3.0,581.0,406.0,150.0,61.0,250.0,119.0,156.0,,15,7239.0,1777.0,50.0,50.0,2.4038885300862676,155.99001663893512,0.14414414414414414,0.027538726333907058,0.04504504504504504,0.008605851979345954
Suicide Six,Vermont,Vermont,1200,650,550,0,0,0,0,0,2,1,3,24.0,,0.4,100.0,50.0,100.0,85.0,90.0,75.0,106.0,,15,7239.0,1777.0,50.0,50.0,2.4038885300862676,155.99001663893512,0.125,0.03,0.0,0.0
Bryce Resort,Virginia,Virginia,1750,500,1250,0,0,0,1,0,1,5,7,8.0,,0.4,25.0,25.0,100.0,54.0,30.0,68.0,95.0,20.0,4,269.0,366.0,4.0,135.0,0.04686299684881493,9.35125657510228,0.875,0.28,0.0,0.0
49 Degrees North,Washington,Washington,5774,1851,3932,0,0,0,1,0,5,1,7,89.0,1.0,2.0,2325.0,,101.0,48.0,301.0,62.0,135.0,250.0,10,15330.0,1022.0,21.0,1997.0,0.13132160885254723,14.02563886785043,0.07865168539325842,0.003010752688172043,0.0,0.0
Bluewood,Washington,Washington,5670,1125,4545,0,0,0,0,2,0,1,3,24.0,2.0,2.0,355.0,,70.0,40.0,300.0,47.0,110.0,,10,15330.0,1022.0,21.0,1997.0,0.13132160885254723,14.02563886785043,0.125,0.008450704225352112,0.0,0.0
Crystal Mountain,Washington,Washington,7012,3100,4400,1,2,2,1,2,2,0,10,57.0,1.0,2.5,2600.0,10.0,,57.0,486.0,99.0,,,10,15330.0,1022.0,21.0,1997.0,0.13132160885254723,14.02563886785043,0.17543859649122806,0.0038461538461538464,0.03508771929824561,0.0007692307692307692
Mt. Baker,Washington,Washington,5000,1500,3500,0,0,0,8,0,0,2,10,38.0,,0.7,1000.0,,143.0,66.0,663.0,60.01,165.0,,10,15330.0,1022.0,21.0,1997.0,0.13132160885254723,14.02563886785043,0.2631578947368421,0.01,0.0,0.0
Mt. Spokane Ski and Snowboard Park,Washington,Washington,5889,2000,4200,0,0,0,0,1,5,1,7,52.0,3.0,0.6,1704.0,,100.0,81.0,300.0,59.0,103.0,45.0,10,15330.0,1022.0,21.0,1997.0,0.13132160885254723,14.02563886785043,0.1346153846153846,0.004107981220657277,0.0,0.0
The Summit at Snoqualmie,Washington,Washington,3865,1025,2840,0,0,3,3,4,10,7,27,112.0,5.0,0.8,1994.0,5.0,120.0,82.0,428.0,95.0,140.0,541.0,10,15330.0,1022.0,21.0,1997.0,0.13132160885254723,14.02563886785043,0.24107142857142858,0.01354062186559679,0.026785714285714284,0.0015045135406218655
White Pass,Washington,Washington,6550,2050,4500,0,0,2,1,1,2,2,8,45.0,2.0,2.5,1402.0,30.0,148.0,67.0,400.0,69.0,144.0,90.0,10,15330.0,1022.0,21.0,1997.0,0.13132160885254723,14.02563886785043,0.17777777777777778,0.005706134094151213,0.044444444444444446,0.0014265335235378032
Canaan Valley Resort,West Virginia,West Virginia,4280,850,3430,0,0,0,1,2,0,1,4,47.0,1.0,1.2,95.0,75.0,,48.0,160.0,68.0,93.0,,4,542.0,342.0,9.0,187.0,0.22319597666932456,16.50846058605035,0.0851063829787234,0.042105263157894736,0.0,0.0
Snowshoe Mountain Resort,West Virginia,West Virginia,4848,1500,3348,0,0,3,2,6,0,3,14,60.0,5.0,1.5,257.0,257.0,125.0,46.0,180.0,87.0,138.0,86.0,4,542.0,342.0,9.0,187.0,0.22319597666932456,16.50846058605035,0.23333333333333334,0.054474708171206226,0.05,0.011673151750972763
Timberline Four Seasons,West Virginia,West Virginia,4265,1000,3268,0,0,0,0,2,1,1,4,40.0,1.0,2.0,100.0,100.0,97.0,37.0,150.0,92.0,115.0,27.0,4,542.0,342.0,9.0,187.0,0.22319597666932456,16.50846058605035,0.1,0.04,0.0,0.0
Winterplace Ski Resort,West Virginia,West Virginia,3600,603,2997,0,0,0,2,3,2,2,9,27.0,2.0,1.2,90.0,90.0,120.0,36.0,100.0,72.0,120.0,74.0,4,542.0,342.0,9.0,187.0,0.22319597666932456,16.50846058605035,0.3333333333333333,0.1,0.0,0.0
Alpine Valley Resort,Wisconsin,Wisconsin,1040,388,820,0,0,3,0,3,1,5,12,21.0,3.0,0.2,90.0,90.0,100.0,55.0,80.0,65.0,120.0,90.0,15,1750.0,1519.0,40.0,1065.0,0.2576242169511926,22.90216196408941,0.5714285714285714,0.13333333333333333,0.14285714285714285,0.03333333333333333
Bruce Mound,Wisconsin,Wisconsin,1375,375,1000,0,0,0,0,1,0,4,5,12.0,2.0,0.5,40.0,30.0,42.0,71.0,42.0,25.0,42.0,30.0,15,1750.0,1519.0,40.0,1065.0,0.2576242169511926,22.90216196408941,0.4166666666666667,0.125,0.0,0.0
Cascade Mountain,Wisconsin,Wisconsin,1280,460,820,0,0,2,2,3,2,3,12,47.0,4.0,1.1,175.0,175.0,120.0,57.0,56.0,64.0,120.0,,15,1750.0,1519.0,40.0,1065.0,0.2576242169511926,22.90216196408941,0.2553191489361702,0.06857142857142857,0.0425531914893617,0.011428571428571429
Christie Mountain,Wisconsin,Wisconsin,1650,350,1300,0,0,0,0,0,1,5,6,30.0,4.0,0.8,45.0,41.0,92.0,43.0,48.0,38.0,120.0,35.0,15,1750.0,1519.0,40.0,1065.0,0.2576242169511926,22.90216196408941,0.2,0.13333333333333333,0.0,0.0
Devils Head,Wisconsin,Wisconsin,995,500,495,0,0,0,3,1,6,2,12,27.0,1.0,1.0,260.0,260.0,110.0,48.0,45.0,65.0,135.0,200.0,15,1750.0,1519.0,40.0,1065.0,0.2576242169511926,22.90216196408941,0.4444444444444444,0.046153846153846156,0.0,0.0
Grand Geneva,Wisconsin,Wisconsin,1086,211,875,0,0,0,0,0,3,3,6,20.0,1.0,0.2,30.0,30.0,90.0,25.0,25.0,49.0,93.0,30.0,15,1750.0,1519.0,40.0,1065.0,0.2576242169511926,22.90216196408941,0.3,0.2,0.0,0.0
Granite Peak Ski Area,Wisconsin,Wisconsin,1942,700,1242,0,1,2,0,2,0,2,7,75.0,4.0,0.6,220.0,160.0,136.0,82.0,75.0,92.0,135.0,200.0,15,1750.0,1519.0,40.0,1065.0,0.2576242169511926,22.90216196408941,0.09333333333333334,0.031818181818181815,0.02666666666666667,0.00909090909090909
Mount La Crosse,Wisconsin,Wisconsin,1110,516,594,0,0,0,0,0,3,1,4,19.0,1.0,0.4,100.0,100.0,115.0,60.0,40.0,56.0,100.0,90.0,15,1750.0,1519.0,40.0,1065.0,0.2576242169511926,22.90216196408941,0.21052631578947367,0.04,0.0,0.0
Nordic Mountain,Wisconsin,Wisconsin,1137,265,872,0,0,0,0,1,1,5,7,18.0,4.0,1.0,60.0,60.0,68.0,43.0,80.0,47.0,90.0,60.0,15,1750.0,1519.0,40.0,1065.0,0.2576242169511926,22.90216196408941,0.3888888888888889,0.11666666666666667,0.0,0.0
Sunburst,Wisconsin,Wisconsin,1100,214,866,0,0,0,0,0,3,6,9,13.0,4.0,0.5,37.0,37.0,99.0,59.0,50.0,44.0,115.0,37.0,15,1750.0,1519.0,40.0,1065.0,0.2576242169511926,22.90216196408941,0.6923076923076923,0.24324324324324326,0.0,0.0
Trollhaugen,Wisconsin,Wisconsin,1200,260,920,0,0,0,2,0,1,5,8,24.0,4.0,0.5,86.0,86.0,130.0,69.0,50.0,54.0,120.0,86.0,15,1750.0,1519.0,40.0,1065.0,0.2576242169511926,22.90216196408941,0.3333333333333333,0.09302325581395349,0.0,0.0
Tyrol Basin,Wisconsin,Wisconsin,1160,300,860,0,0,0,0,3,0,2,5,18.0,5.0,0.5,32.0,32.0,112.0,61.0,41.0,48.0,103.0,32.0,15,1750.0,1519.0,40.0,1065.0,0.2576242169511926,22.90216196408941,0.2777777777777778,0.15625,0.0,0.0
Whitecap Mountain,Wisconsin,Wisconsin,1750,400,1295,0,0,0,1,0,4,0,5,43.0,1.0,1.0,400.0,300.0,105.0,57.0,200.0,60.0,118.0,,15,1750.0,1519.0,40.0,1065.0,0.2576242169511926,22.90216196408941,0.11627906976744186,0.0125,0.0,0.0
Wilmot Mountain,Wisconsin,Wisconsin,1030,230,800,0,0,0,3,2,2,3,10,23.0,2.0,0.5,135.0,135.0,125.0,81.0,70.0,66.0,139.0,135.0,15,1750.0,1519.0,40.0,1065.0,0.2576242169511926,22.90216196408941,0.43478260869565216,0.07407407407407407,0.0,0.0
Grand Targhee Resort,Wyoming,Wyoming,9920,2270,7851,0,0,2,2,0,0,1,5,95.0,1.0,2.7,2602.0,,152.0,50.0,500.0,90.0,152.0,,8,6523.0,716.0,14.0,110.0,1.3822679215355613,8.17887192908918,0.05263157894736842,0.001921598770176787,0.021052631578947368,0.0007686395080707148
Hogadon Basin,Wyoming,Wyoming,8000,640,7400,0,0,0,0,0,1,1,2,28.0,1.0,0.6,92.0,32.0,121.0,61.0,80.0,48.0,95.0,,8,6523.0,716.0,14.0,110.0,1.3822679215355613,8.17887192908918,0.07142857142857142,0.021739130434782608,0.0,0.0
Sleeping Giant Ski Resort,Wyoming,Wyoming,7428,810,6619,0,0,0,0,1,1,1,3,48.0,1.0,1.0,184.0,18.0,61.0,81.0,310.0,42.0,77.0,,8,6523.0,716.0,14.0,110.0,1.3822679215355613,8.17887192908918,0.0625,0.016304347826086956,0.0,0.0
Snow King Resort,Wyoming,Wyoming,7808,1571,6237,0,0,0,1,1,1,0,3,32.0,2.0,1.0,400.0,250.0,121.0,80.0,300.0,59.0,123.0,110.0,8,6523.0,716.0,14.0,110.0,1.3822679215355613,8.17887192908918,0.09375,0.0075,0.0,0.0
